example_id,conversation_id,brand,customer_message,conversation_context,model_recommended_intent,model_recommended_decision,gold_intent,gold_decision,escalation_reason,difficulty,annotation_note,annotated_by_human
gold_020,conv_121089,AmazonHelp,Hi @116316 it's been 5 days now since I placed my order and still hasn't been dispatched. The product went in and out of stock couple of times and your support is of no help unfortunately. Care to assist?,Customer ID: 142952 | Turn Count: 9,general_inquiry_availability,AUTO_HANDLE,general_inquiry_availability,AUTO_HANDLE,,easy,Initial candidate example.,False
gold_021,conv_141116,AmazonHelp,Guys can i get a response. @115850 @AmazonHelp it more than 24 hrs. yet waiting for your mail.,Customer ID: 147824 | Turn Count: 5,out_of_scope_other,ESCALATE,out_of_scope_other,ESCALATE,Low intent confidence or out-of-scope query.,hard,Initial candidate example.,False
gold_022,conv_150534,AmazonHelp,"@120533 J'ai un article très..... exhaustif, -18. Vous voyez le truc. Le hic c'est que c'est en public. C'est normal? Vous voulez le lien?",Customer ID: 150331 | Turn Count: 2,out_of_scope_other,ESCALATE,out_of_scope_other,ESCALATE,Low intent confidence or out-of-scope query.,hard,Initial candidate example.,False
gold_023,conv_147354,AmazonHelp,"I got distracted by @115821 Black Friday deals 3 hours ago when I should have been writing my sermon. On the plus side, the Christmas shopping is now done!",Customer ID: 149479 | Turn Count: 2,out_of_scope_other,ESCALATE,out_of_scope_other,ESCALATE,Low intent confidence or out-of-scope query.,hard,Initial candidate example.,False
gold_024,conv_102886,AmazonHelp,@115821 I've had dot for 1 day &amp; it doesn't work. Won't turn on no matter where I plug it in &amp; can't reset. Your Tech support did nothing.,Customer ID: 138631 | Turn Count: 12,out_of_scope_other,ESCALATE,out_of_scope_other,ESCALATE,Low intent confidence or out-of-scope query.,hard,Initial candidate example.,False
gold_025,conv_6998,AmazonHelp,amazonの梱包雑…珍しい。しかも、資格のテキスト少しページ曲がってしまってるし2冊が合体してたし…,Customer ID: 117209 | Turn Count: 2,out_of_scope_other,ESCALATE,out_of_scope_other,ESCALATE,Low intent confidence or out-of-scope query.,easy,Initial candidate example.,False
gold_026,conv_38139,AmazonHelp,"Amazon better sort this out, I ordered this months ago and it's not even coming on the release date (Nov. 2nd). https://t.co/HpvfUagrDG",Customer ID: 124281 | Turn Count: 10,order_delivery_delay,AUTO_HANDLE,order_delivery_delay,AUTO_HANDLE,,easy,Initial candidate example.,False
gold_027,conv_153669,AmazonHelp,@8966 @117086 https://t.co/LSZIK9hXx2 Esse 💕,Customer ID: 148241 | Turn Count: 3,out_of_scope_other,ESCALATE,out_of_scope_other,ESCALATE,Low intent confidence or out-of-scope query.,hard,Initial candidate example.,False
gold_028,conv_162189,AmazonHelp,"@AmazonHelp hi, I'm trying to pay using my amazon balance of $30.63. My cart is a total of $30.53, however it is not letting me proceed to checkout. The continue button isn't lighting up for me to pay. Help. https://t.co/DC1bJwehCD",Customer ID: 153438 | Turn Count: 2,out_of_scope_other,ESCALATE,out_of_scope_other,ESCALATE,Low intent confidence or out-of-scope query.,hard,Initial candidate example.,False
gold_029,conv_105025,AmazonHelp,Cyber Monday Deals Week is here – Shop all the products you love with Amazon today! https://t.co/JWEr35lNP7 https://t.co/E0SbRp3v4V,Customer ID: 115821 | Turn Count: 4,out_of_scope_other,ESCALATE,out_of_scope_other,ESCALATE,Low intent confidence or out-of-scope query.,hard,Initial candidate example.,False
gold_030,conv_22166,AmazonHelp,"Thanks @115821 for spooking me on Halloween with an iPhone cable that caught on fire, needed a good scare #HappyHalloween2017",Customer ID: 120836 | Turn Count: 4,out_of_scope_other,ESCALATE,out_of_scope_other,ESCALATE,Low intent confidence or out-of-scope query.,easy,Initial candidate example.,False
gold_031,conv_20421,AmazonHelp,@115850 amazon stick from https://t.co/cvJQ06p7ve is authorized seller?,Customer ID: 120462 | Turn Count: 3,out_of_scope_other,ESCALATE,out_of_scope_other,ESCALATE,Low intent confidence or out-of-scope query.,hard,Initial candidate example.,False
gold_032,conv_99841,AmazonHelp,"@118919 Very Disappointed with Amazon.in.This is back to back Second Chance when i ordered something and got the incorrect/different product in delivery.Is this a ""Fashion Freak"" Brand Product which i received in my order??? https://t.co/MlHtDnkjxO",Customer ID: 137852 | Turn Count: 4,customer_service_complaint,ESCALATE,customer_service_complaint,ESCALATE,Low intent confidence or out-of-scope query.,hard,Initial candidate example.,False
gold_033,conv_47942,AmazonHelp,@119356 For my return amazon has issued refund amount on 29th oct 2017 but this is still not credited into my bank account.,Customer ID: 126321 | Turn Count: 6,refund_return_status,AUTO_HANDLE,refund_return_status,AUTO_HANDLE,,easy,Initial candidate example.,False
gold_034,conv_9135,AmazonHelp,Not here pissed @115821,Customer ID: 117635 | Turn Count: 3,out_of_scope_other,ESCALATE,out_of_scope_other,ESCALATE,Low intent confidence or out-of-scope query.,hard,Initial candidate example.,False
gold_035,conv_108120,AmazonHelp,"@117086 Fala Amazon, qual é a melhor promoção que esta rolando hoje?",Customer ID: 140001 | Turn Count: 2,out_of_scope_other,ESCALATE,out_of_scope_other,ESCALATE,Low intent confidence or out-of-scope query.,hard,Initial candidate example.,False
gold_036,conv_169587,AmazonHelp,"Ow, eu que sou muito burra ou não dá pra colocar ebook da @117804 no carrinho do site pra comprar vários? Só tá me dando opção de comprar um por vez 😭",Customer ID: 155491 | Turn Count: 6,out_of_scope_other,ESCALATE,out_of_scope_other,ESCALATE,Low intent confidence or out-of-scope query.,hard,Initial candidate example.,False
gold_037,conv_125354,AmazonHelp,@117086 se recuperando neste dia é lindo de se ver.,Customer ID: 144105 | Turn Count: 8,out_of_scope_other,ESCALATE,out_of_scope_other,ESCALATE,Low intent confidence or out-of-scope query.,hard,Initial candidate example.,False
gold_038,conv_83458,AmazonHelp,@115821 so I used to think $99 for prime was a good deal. Until 60% of my recent orders were delivered between 2 and 4 days after the were promised. That is not good,Customer ID: 134335 | Turn Count: 4,account_login_prime,AUTO_HANDLE,account_login_prime,AUTO_HANDLE,,easy,Initial candidate example.,False
gold_039,conv_105222,AmazonHelp,Hi @AmazonHelp looking for a real person to deal with an unauthorised transaction you've been dealing with for over a week? Anyone there?,Customer ID: 139238 | Turn Count: 4,out_of_scope_other,ESCALATE,out_of_scope_other,ESCALATE,Low intent confidence or out-of-scope query.,easy,Initial candidate example.,False
gold_040,conv_74579,AmazonHelp,E comprei todos pela @117086 !,Customer ID: 132705 | Turn Count: 8,out_of_scope_other,ESCALATE,out_of_scope_other,ESCALATE,Low intent confidence or out-of-scope query.,hard,Initial candidate example.,False
gold_041,conv_37594,AmazonHelp,Yo we gotta talk on my lunch break @AmazonHelp,Customer ID: 124160 | Turn Count: 9,out_of_scope_other,ESCALATE,out_of_scope_other,ESCALATE,Low intent confidence or out-of-scope query.,hard,Initial candidate example.,False
gold_042,conv_101800,AmazonHelp,Shout out to Ashish and Shruti from @AmazonHelp online chat support resolving two order issues (one my fault) in less than a minute! Thank you!,Customer ID: 138299 | Turn Count: 3,order_delivery_delay,AUTO_HANDLE,order_delivery_delay,AUTO_HANDLE,,easy,Initial candidate example.,False
gold_043,conv_99917,AmazonHelp,First time this has ever happened to me. I ordered something from @115821 on #BlackFriday and it's lost in the mail. Even the site says it.,Customer ID: 137878 | Turn Count: 2,order_delivery_delay,AUTO_HANDLE,order_delivery_delay,AUTO_HANDLE,,easy,Initial candidate example.,False
gold_044,conv_152036,AmazonHelp,@115830 need help..pretty sure accounts been hacked,Customer ID: 150741 | Turn Count: 8,out_of_scope_other,ESCALATE,out_of_scope_other,ESCALATE,Low intent confidence or out-of-scope query.,hard,Initial candidate example.,False
gold_045,conv_78883,AmazonHelp,¿Saben si en @116875 venden cobijas de tigre de bengala? #PagoConAmazonCash,Customer ID: 133589 | Turn Count: 4,out_of_scope_other,ESCALATE,out_of_scope_other,ESCALATE,Low intent confidence or out-of-scope query.,hard,Initial candidate example.,False
gold_046,conv_174541,AmazonHelp,"hey, @116316 - wenn man nach kabelgebundenen Mäusen sucht, haben kabellose Geräte eigentlich nix in der Suchliste verloren: https://t.co/wAnCo3nWgW",Customer ID: 156920 | Turn Count: 2,out_of_scope_other,ESCALATE,out_of_scope_other,ESCALATE,Low intent confidence or out-of-scope query.,hard,Initial candidate example.,False
gold_047,conv_71928,AmazonHelp,@AmazonHelp why do you stick the labels on the box. This is a gift and can’t get label off. Really disappointed with this shoddy service https://t.co/PLjW8o3gn0,Customer ID: 132138 | Turn Count: 3,customer_service_complaint,ESCALATE,customer_service_complaint,ESCALATE,Low intent confidence or out-of-scope query.,hard,Initial candidate example.,False
gold_048,conv_44557,AmazonHelp,"Influenza non ti temo,bè un pó si! Mi metto qui in relax leggendo un libro.Ciao mondo. #kindle… https://t.co/qUtlPLSCrS",Customer ID: 125884 | Turn Count: 3,digital_services,AUTO_HANDLE,digital_services,AUTO_HANDLE,,easy,Initial candidate example.,False
gold_049,conv_179299,AmazonHelp,"Dear @115821 May as well use these #280characters For the past 5 days you have had my account on hold, during 11 phonecalls I have been repeatedly promised that someone will be in touch in the next 24 hours. Well the times your customer support didn't hang up on me. /1",Customer ID: 158252 | Turn Count: 28,out_of_scope_other,ESCALATE,out_of_scope_other,ESCALATE,Low intent confidence or out-of-scope query.,hard,Initial candidate example.,False
gold_050,conv_73607,AmazonHelp,Amazonからも届いたんだけど頼んだ記憶ないぞwwwwww https://t.co/MgcyJzHtHd,Customer ID: 132462 | Turn Count: 2,out_of_scope_other,ESCALATE,out_of_scope_other,ESCALATE,Low intent confidence or out-of-scope query.,easy,Initial candidate example.,False
gold_051,conv_45547,AmazonHelp,@AmazonHelp #Kindle is basically trash once the screen starts fading as there's no repair services anywhere in the world Pathetic! #Amazon,Customer ID: 126083 | Turn Count: 4,digital_services,AUTO_HANDLE,digital_services,AUTO_HANDLE,,easy,Initial candidate example.,False
gold_052,conv_84262,AmazonHelp,Yet again @115830 @AmazonHelp I'm skeptical my delivery will arrive today when it's not left Preston yet... https://t.co/AvAXsAs6iW,Customer ID: 134539 | Turn Count: 3,order_delivery_delay,AUTO_HANDLE,order_delivery_delay,AUTO_HANDLE,,easy,Initial candidate example.,False
gold_053,conv_177379,AmazonHelp,ダンボールまとめ用に便利に使っていたハンディラップが切れた。最初からこの３個セット買っとけばよかった。 -- 山善(YAMAZEN) ハンディラップ セット品 ストレッチ フィルム くるット (幅10cm×150m巻) セット (本体1個+交換用ラップ3個) https://t.co/yn3cYw53wo @116313さんから,Customer ID: 157763 | Turn Count: 3,out_of_scope_other,ESCALATE,out_of_scope_other,ESCALATE,Low intent confidence or out-of-scope query.,hard,Initial candidate example.,False
gold_054,conv_108291,AmazonHelp,@117086 qnd vcs decidirem colocar opção de pagamento por boleto eu vou ficar mt feliz,Customer ID: 140036 | Turn Count: 3,out_of_scope_other,ESCALATE,out_of_scope_other,ESCALATE,Low intent confidence or out-of-scope query.,hard,Initial candidate example.,False
gold_055,conv_98674,AmazonHelp,"@116090 ordered yesterday, paid for Same-Day/One-Day Shipping, and it's ONLY IN THE ""Preparing for Shipment"" PHASE THIS EVENING??? How does does ""one day shipping"" equal ""ship the following day""???",Customer ID: 137597 | Turn Count: 5,out_of_scope_other,ESCALATE,out_of_scope_other,ESCALATE,Low intent confidence or out-of-scope query.,easy,Initial candidate example.,False
gold_056,conv_144066,AmazonHelp,アマゾンプライムにマグ7来ましたワーーーーー！！！！ https://t.co/ADRqkWysmH,Customer ID: 148574 | Turn Count: 4,out_of_scope_other,ESCALATE,out_of_scope_other,ESCALATE,Low intent confidence or out-of-scope query.,easy,Initial candidate example.,False
gold_057,conv_123427,AmazonHelp,@116316 Ich bezahle ca. 10 Euro für AmazonGlobal Express-Zustellung damit meine Bestellung am 22.11 ankommt... Jetzt steht Transitverzögerung ich soll mich am 30.11. melden falls nichts ankommt?! für was bezahle ich bitte AmazonGlobal Express wenn es keinen Unterschied macht?🤔,Customer ID: 143573 | Turn Count: 2,out_of_scope_other,ESCALATE,out_of_scope_other,ESCALATE,Low intent confidence or out-of-scope query.,hard,Initial candidate example.,False
gold_058,conv_115968,AmazonHelp,@115830 if your dash buttons are on sale for £1.99 and you get a £4.99 discount after first press when buying it for the usual £4.99 is the discount reduced to £1.99 too? Important! 🤔,Customer ID: 141823 | Turn Count: 2,out_of_scope_other,ESCALATE,out_of_scope_other,ESCALATE,Low intent confidence or out-of-scope query.,hard,Initial candidate example.,False
gold_059,conv_138244,AmazonHelp,@AmazonHelp if I buy something in black Friday am I still able to return the product?,Customer ID: 123163 | Turn Count: 2,out_of_scope_other,ESCALATE,out_of_scope_other,ESCALATE,Low intent confidence or out-of-scope query.,hard,Initial candidate example.,False
gold_060,conv_122015,AmazonHelp,gente alguem sabe me informar se a @117086 vai dar mais descontos de livros após meia noite?,Customer ID: 143190 | Turn Count: 3,out_of_scope_other,ESCALATE,out_of_scope_other,ESCALATE,Low intent confidence or out-of-scope query.,hard,Initial candidate example.,False
gold_061,conv_167952,AmazonHelp,"@115830 I’m not being heard so I thought I’d take to Twitter. You’ve mislead me, have spoken to me badly when I’ve complained and frankly I’m feeling conned! Deicetful antics, false advertising and miss-priced items is your game for #BlackFriday. Fantastic customer service!👍🏻",Customer ID: 155071 | Turn Count: 6,out_of_scope_other,ESCALATE,out_of_scope_other,ESCALATE,Low intent confidence or out-of-scope query.,hard,Initial candidate example.,False
gold_062,conv_127446,AmazonHelp,@115821 my order delivery date is today but my order is not delivered...,Customer ID: 144618 | Turn Count: 8,order_delivery_delay,AUTO_HANDLE,order_delivery_delay,AUTO_HANDLE,,easy,Initial candidate example.,False
gold_063,conv_108281,AmazonHelp,@116928 liandomela de nuevo con la entrega. Te prometen entrega en 1 día y ahora dicen que ya hoy no llega el paquete xD,Customer ID: 140033 | Turn Count: 4,out_of_scope_other,ESCALATE,out_of_scope_other,ESCALATE,Low intent confidence or out-of-scope query.,hard,Initial candidate example.,False
gold_064,conv_91244,AmazonHelp,Amazon Selling Fake Bose Speakers in India #Not offering Replacement #Fake Discount @AmazonHelp @ Amazon Scam in India #Poor CX #@5340 @131283 @132458 @132460 @119341 @115851 @121927 @135788 @5341 @135789 @135788 @5342 @1755,Customer ID: 131812 | Turn Count: 5,out_of_scope_other,ESCALATE,out_of_scope_other,ESCALATE,Low intent confidence or out-of-scope query.,hard,Initial candidate example.,False
gold_065,conv_163616,AmazonHelp,"Thank you @115821 for this special tape on the box, let's be honest I couldn't care less what's inside anymore 😉 I just can't wait for the second season of @132976 to begin 😀 #TheGrandTour https://t.co/aBPvp4wc70",Customer ID: 153845 | Turn Count: 2,out_of_scope_other,ESCALATE,out_of_scope_other,ESCALATE,Low intent confidence or out-of-scope query.,hard,Initial candidate example.,False
gold_066,conv_80746,AmazonHelp,Shoutout to @115821 for having my favorite @2647 #hdconcealers at a discounted rate of $3 in the @2647 store and only they $5 #iwin #nyxcosmetics https://t.co/H3Sb0rprXw,Customer ID: 133914 | Turn Count: 2,out_of_scope_other,ESCALATE,out_of_scope_other,ESCALATE,Low intent confidence or out-of-scope query.,hard,Initial candidate example.,False
gold_067,conv_105115,AmazonHelp,"@AmazonHelp You guys sucks, you have the worst support ever.",Customer ID: 139220 | Turn Count: 6,out_of_scope_other,ESCALATE,out_of_scope_other,ESCALATE,Low intent confidence or out-of-scope query.,hard,Initial candidate example.,False
gold_068,conv_34500,AmazonHelp,"@AmazonHelp I am getting ""We're sorry but we encountered an error when processing your request. Please try again"" When payi with 2 dif cards",Customer ID: 123477 | Turn Count: 3,out_of_scope_other,ESCALATE,out_of_scope_other,ESCALATE,Low intent confidence or out-of-scope query.,hard,Initial candidate example.,False
gold_069,conv_10634,AmazonHelp,How does amazon have late shipping? Multi billion dollar company @115821,Customer ID: 117948 | Turn Count: 12,out_of_scope_other,ESCALATE,out_of_scope_other,ESCALATE,Low intent confidence or out-of-scope query.,hard,Initial candidate example.,False
gold_070,conv_142844,AmazonHelp,Preciso de uma ajuda da @117086 não consigo cancelar itens de um pedido.😫,Customer ID: 148246 | Turn Count: 8,out_of_scope_other,ESCALATE,out_of_scope_other,ESCALATE,Low intent confidence or out-of-scope query.,hard,Initial candidate example.,False
gold_071,conv_153661,AmazonHelp,"Sistemático, pedido de @116928 que viene con @130709 nunca llega el día que tiene que llegar 😡",Customer ID: 151174 | Turn Count: 8,out_of_scope_other,ESCALATE,out_of_scope_other,ESCALATE,Low intent confidence or out-of-scope query.,hard,Initial candidate example.,False
gold_072,conv_149320,AmazonHelp,@115821 paid money for job but I didn't got a job. Scam https://t.co/QOJDKNAoaW,Customer ID: 150018 | Turn Count: 4,out_of_scope_other,ESCALATE,out_of_scope_other,ESCALATE,Low intent confidence or out-of-scope query.,hard,Initial candidate example.,False
gold_073,conv_89278,AmazonHelp,Grazie @120540. Mi rendi una Santa Lucia migliore.,Customer ID: 135305 | Turn Count: 4,out_of_scope_other,ESCALATE,out_of_scope_other,ESCALATE,Low intent confidence or out-of-scope query.,hard,Initial candidate example.,False
gold_074,conv_170990,AmazonHelp,@AmazonHelp I need to return something but there is no return slip and the prime app is no help. What to do?,Customer ID: 155878 | Turn Count: 5,account_login_prime,AUTO_HANDLE,account_login_prime,AUTO_HANDLE,,easy,Initial candidate example.,False
gold_075,conv_169610,AmazonHelp,"Meu kindle que comprei ontem já chegou, to morta! Haha arrasou @117086",Customer ID: 155497 | Turn Count: 2,digital_services,AUTO_HANDLE,digital_services,AUTO_HANDLE,,easy,Initial candidate example.,False
gold_076,conv_89316,AmazonHelp,"If I hear “it’s not our fault your package is late” one more time from @115821, I’m done with #Prime. @AmazonHelp",Customer ID: 135314 | Turn Count: 4,account_login_prime,AUTO_HANDLE,account_login_prime,AUTO_HANDLE,,easy,Initial candidate example.,False
gold_077,conv_176435,AmazonHelp,"@115850 https://t.co/OdY9eTpNvW In title it is written Linux, in description it is written DOS, in product picture it is showing Windows 10. Which operating system will I get??",Customer ID: 157509 | Turn Count: 2,out_of_scope_other,ESCALATE,out_of_scope_other,ESCALATE,Low intent confidence or out-of-scope query.,hard,Initial candidate example.,False
gold_078,conv_73543,AmazonHelp,"@115850 @115821 @115851 @118702 @132444 So this what I got when I ordered an air purifier for an colleague on @115850 . Turns out I ended up paying Rs.14,000 to order trash. Serious loss of trust in ordering anything online again. https://t.co/M83INQr4zV",Customer ID: 132443 | Turn Count: 38,order_delivery_delay,AUTO_HANDLE,order_delivery_delay,AUTO_HANDLE,,easy,Initial candidate example.,False
gold_079,conv_5298,AmazonHelp,Que hueva tendré que veré vaselina por Amazon prime video. Obvio me pasan una lana por promocionar prime video @116928,Customer ID: 116927 | Turn Count: 2,account_login_prime,AUTO_HANDLE,account_login_prime,AUTO_HANDLE,,easy,Initial candidate example.,False
gold_080,conv_99913,AmazonHelp,"Seriously annoyed that my mattress from @115821 hasn't arrived yet and tracking says ""wait a few days""",Customer ID: 137877 | Turn Count: 5,order_delivery_delay,AUTO_HANDLE,order_delivery_delay,AUTO_HANDLE,,easy,Initial candidate example.,False
gold_081,conv_101665,AmazonHelp,"spoke with @116090 customer service more. Their overall response was ""Sorry, our fault, buy more and we'll do better"" -- I'm going to try my damnedest to avoid ever using Amazon again.",Customer ID: 137882 | Turn Count: 2,out_of_scope_other,ESCALATE,out_of_scope_other,ESCALATE,Low intent confidence or out-of-scope query.,hard,Initial candidate example.,False
gold_082,conv_121079,AmazonHelp,@116875 hace dos días que no puedo usar mi tarjeta de nómina porque me han retenido saldo...urge ayuda!,Customer ID: 142948 | Turn Count: 3,out_of_scope_other,ESCALATE,out_of_scope_other,ESCALATE,Low intent confidence or out-of-scope query.,hard,Initial candidate example.,False
gold_083,conv_95355,AmazonHelp,"Hey @115821 you lost my package, offered a replacement, and then told me a replacement isn’t possible. What gives?!?!",Customer ID: 136735 | Turn Count: 3,order_delivery_delay,AUTO_HANDLE,order_delivery_delay,AUTO_HANDLE,,easy,Initial candidate example.,False
gold_084,conv_124083,AmazonHelp,Amazonで注文したiPhoneケースが届きません！！！！！！！！💢💢,Customer ID: 143751 | Turn Count: 2,out_of_scope_other,ESCALATE,out_of_scope_other,ESCALATE,Low intent confidence or out-of-scope query.,easy,Initial candidate example.,False
gold_085,conv_78707,AmazonHelp,"@115830 Didn't expect my parcel, containing Christmas pressies, to smell like an ash tray. I think Rob needs to stop smoking in his van. Disgusting. https://t.co/B9tdpibYDb",Customer ID: 133556 | Turn Count: 2,out_of_scope_other,ESCALATE,out_of_scope_other,ESCALATE,Low intent confidence or out-of-scope query.,hard,Initial candidate example.,False
gold_086,conv_152169,AmazonHelp,@AmazonHelp jattends toujours votre appel.. Quel drame votre service client...,Customer ID: 139999 | Turn Count: 6,out_of_scope_other,ESCALATE,out_of_scope_other,ESCALATE,Low intent confidence or out-of-scope query.,hard,Initial candidate example.,False
gold_087,conv_69952,AmazonHelp,"So, we own Past Perfect Music label, the trademark &amp; distrib/manuf. @115821 keep saying ""due to our inability to verify info provided &amp; info re...prior selling history &amp; listings...your (music) listings affected...are inactive"" Why? Loads of our CDs stuck waiting FBA @AmazonHelp",Customer ID: 131826 | Turn Count: 6,out_of_scope_other,ESCALATE,out_of_scope_other,ESCALATE,Low intent confidence or out-of-scope query.,hard,Initial candidate example.,False
gold_088,conv_114379,AmazonHelp,Poor service from @AmazonHelp - Unable to deliver item to Amazon locker because it's full but didn't even bother to email me to tell me. Now won't have item needed by tomorrow.,Customer ID: 141427 | Turn Count: 4,out_of_scope_other,ESCALATE,out_of_scope_other,ESCALATE,Low intent confidence or out-of-scope query.,hard,Initial candidate example.,False
gold_089,conv_166388,AmazonHelp,"@9583 @116090 If I have to go to the Lakeshore post office one more time to pick up parcels, I’m cancelling my Amazon Prime subscription.",Customer ID: 154650 | Turn Count: 6,account_login_prime,AUTO_HANDLE,account_login_prime,AUTO_HANDLE,,easy,Initial candidate example.,False
